RADIO LISTENING,A ASCULTA LA RADIO
NOISE MEASUREMENTS,MĂSURĂTORI DE ZGOMOT
CLINICAL TESTS AND MEASUREMENTS,MĂSURĂTORI ȘI TESTE CLINICE
METEOROLOGICAL MEASUREMENTS,MĂSURĂTORI METEREOLOGICE
PSYCHOLOGICAL MEASUREMENTS (DATA COLLECTION),MĂSURĂTORI PSIHOLOGICE (CULEGERE DE DATE)
BODY CIRCUMFERENCE MEASUREMENTS,MĂSURI ALE CIRCUMFERINȚEI CORPULUI
SAFETY AND SECURITY MEASURES,MĂSURI DE PROTECȚIE ȘI SIGURANȚĂ
FIRE SAFETY MEASURES,MĂSURI DE SIGURANȚĂ ÎN CAZ DE INCENDIU
POSTWAR MEASURES,MĂSURI POSTBELICE
MATHEMATICS,MATEMATICĂ
MATERIALS,MATERIALE
READING MATERIALS,MATERIALE DE CITIT
BUILDING MATERIALS,MATERIALE DE CONSTRUCȚIE
TEACHING MATERIALS,MATERIALE DIDACTICE
INFORMATION MATERIALS,MATERIALE INFORMATIVE
DANGEROUS MATERIALS,MATERIALE PERICULOASE
MATERIALISM,MATERIALISM
RAW MATERIALS,MATERII PRIME
PROTECTIVE MASKS,MĂȘTI DE PROTECȚIE
EUROPEAN EXCHANGE RATE MECHANISM,MECANISMUL EUROPEAN AL CURSULUI DE SCHIMB
CORONERS,MEDIC LEGIST
MEDICINAL DRUGS,MEDICAMENTE
NON-PRESCRIPTION DRUGS,MEDICAMENTE FĂRĂ PRESCRIPȚIE MEDICALĂ
DRUGS,MEDICAMENTE ȘI DROGURI
ILLEGAL DRUGS,MEDICAMENTE ȘI DROGURI ILEGALE
PRESCRIPTION DRUGS,MEDICAMENTE PE BAZĂ DE REȚETĂ
PHYSICIANS,MEDICI
SURGEONS,MEDICI CHIRURGI
VETERINARY SURGEONS,MEDICI CHIRURGI VETERINARI
GENERAL PRACTITIONERS,MEDICI GENERALIȘTI
MEDICAL SPECIALISTS,MEDICI SPECIALIȘTI
NATUROPATHY,MEDICINĂ NATURISTĂ
PREVENTIVE MEDICINE,MEDICINĂ PREVENTIVĂ
SPORTS MEDICINE,MEDICINĂ SPORTIVĂ ȘI FIZICĂ
FOLK MEDICINE,MEDICINĂ TRADIȚIONALĂ
VETERINARY MEDICINE,MEDICINĂ VETERINARĂ
MEDITATION,MEDITAȚIE
ENVIRONMENT,MEDIU
EDUCATIONAL ENVIRONMENT,MEDIU EDUCAȚIONAL
FAMILY ENVIRONMENT,MEDIU FAMILIAL
NATURAL ENVIRONMENT,MEDIU NATURAL
RURAL ENVIRONMENT,MEDIU RURAL
SOCIAL ENVIRONMENT,MEDIU SOCIAL
HUMAN ENVIRONMENT,MEDIU UMAN
URBAN ENVIRONMENT,MEDIU URBAN
FAMILY MEMBERS,MEMBRII AI FAMILIEI
MEMBERS OF PARLIAMENT,MEMBRII AI PARLAMENTULUI
MEMORY,MEMORIE
MENOPAUSE,MENOPAUSĂ
MENSTRUATION,MENSTRUAȚIE
WALKING,MERS PE JOS
FREE SCHOOL MEALS,MESE ȘCOLARE GRATUITE
CRAFTSMEN,MEȘTEȘUGARI
RHYTHM METHOD (BIRTH CONTROL),METODA RITMULUI (CONTROLUL NAȘTERII)
BIRTH CONTROL METHODS,METODE DE CONTRACEPȚIE
TIME METHODS (RESEARCH),METODE DE TIMP (CERCETARE)
MEDICAL TREATMENT METHODS,METODE DE TRATAMENT MEDICAL
TEACHING METHODS,METODE DIDACTICE
METHODOLOGY,METODOLOGIE
DATA COLLECTION METHODOLOGY,METODOLOGIE DE CULEGERE A DATELOR
LABOUR MOVEMENT,MIȘCARE SOCIALĂ MUNCITOREASCĂ
VITAL STATISTICS,MIȘCAREA NATURALĂ A POPULAȚIEI
LIBERATION MOVEMENTS,MIȘCĂRI DE ELIBERARE
PROTEST MOVEMENTS,MIȘCĂRI DE PROTEST
POLITICAL MOVEMENTS,MIȘCĂRI POLITICE
ANTI-NUCLEAR MOVEMENTS,MIȘCĂRI SOCIALE ANTINUCLEARE
NUCLEAR DISARMAMENT MOVEMENTS,MIȘCĂRI SOCIALE DE DEZARMARE NUCLEARĂ
ENVIRONMENTAL MOVEMENTS,MIȘCĂRI SOCIALE ECOLOGICE
WOMEN'S MOVEMENT,MIȘCĂRI SOCIALE FEMINISTE
ANTI-WAR MOVEMENTS,MIȘCĂRI SOCIALE ÎMPOTRIVA RĂZBOIULUI
RELIGIOUS MOVEMENTS,MIȘCĂRI SOCIALE RELIGIOASE
REVOLUTIONARY MOVEMENTS,MIȘCĂRI SOCIALE REVOLUȚIONARE
LABOUR MIGRATION,MIGRAȚIA FORȚEI DE MUNCĂ
POPULATION MIGRATION,MIGRAȚIA POPULAȚIEI
EDUCATIONAL MIGRATION,MIGRAȚIE ÎN SCOP ACADEMIC
INTERNAL MIGRATION,MIGRAȚIE INTERNĂ
INTERNATIONAL MIGRATION,MIGRAȚIE INTERNAȚIONALĂ
RURAL MIGRATION,MIGRAȚIE RURAL-URBAN
COUNTER-URBANIZATION,MIGRAȚIE URBAN-RURAL
MIGRANTS,MIGRANȚI
MIGRAINES,MIGRENE
CONTRACEPTIVE DEVICES,MIJLOACE CONTRACEPTIVE
MASS MEDIA,MIJLOACE DE INFORMARE ÎN MASĂ
MILITARISM,MILITARISM
MINERS,MINERI
COAL MINERS,MINERI ÎN EXTRACȚIA CĂRBUNELUI
GOVERNMENT MINISTERS,MINIȘTRII GUVERNAMENTALI
ETHNIC MINORITIES,MINORITĂȚI ETNICE
POLITICAL MINORITIES,MINORITĂȚI POLITICE
SMELL,MIROSURI
MISSIONARY WORK,MISIONARISM
MYSTICISM,MISTICISM
MYTHS,MITURI
MIDWIVES,MOAȘE
DEATH,MOARTE
RESIDENTIAL MOBILITY,MOBILITATE DE DOMICILIU
PHYSICAL MOBILITY,MOBILITATE FIZICĂ
SOCIAL MOBILITY,MOBILITATE SOCIALĂ
FASHION,MODĂ
METHODS OF PAYMENT,MODALITĂȚI DE PLATĂ
MODE OF DATA COLLECTION,MODALITATE DE CULEGERE A DATELOR
MODELLING,MODELARE
SIMULATION MODELS,MODELE DE SIMULARE
MATHEMATICAL MODELS,MODELE MATEMATICE
MODERNIZATION,MODERNIZARE
MONARCHY,MONARHIE
SINGLE EUROPEAN CURRENCY,MONEDĂ UNICĂ EUROPEANĂ
POLICY MONITORING,MONITORIZAREA DE POLITICI
MONOPOLIES,MONOPOLURI
MONUMENTS,MONUMENTE
MORBIDITY,MORBIDITATE
MILLS,MORI
MORTALITY,MORTALITATE
INFANT MORTALITY,MORTALITATE INFANTILĂ
MATERNAL MORTALITY,MORTALITATE MATERNĂ
INHERITANCE,MOȘTENIRE
CULTURAL HERITAGE,MOȘTENIRE CULTURALĂ
MOTIVATION,MOTIVAȚIE
MOTORCYCLES,MOTOCICLETE
DIESEL OIL,MOTORINĂ
MULTILINGUALISM,MULTILINGVISM
LABOUR (RESOURCE),MUNCĂ (RESURSĂ)
HOUSEWORK,MUNCĂ CASNICĂ
RESEARCH WORK,MUNCĂ DE CERCETARE
VOLUNTARY WORK,MUNCĂ DE VOLUNTARIAT
LABOUR AND EMPLOYMENT,MUNCĂ ȘI OCUPAREA FORȚEI DE MUNCĂ
COMMUNITY WORK,MUNCĂ ÎN COMUNITATE
COMMUNITY SERVICE (PUNISHMENT),MUNCĂ ÎN FOLOSUL COMUNITĂȚII (PEDEAPSĂ)
YOUTH WORK,MUNCĂ ÎN RÂNDUL TINERILOR
TELEWORK,MUNCĂ ÎN TELEVIZIUNE
SHIFT WORK,MUNCĂ ÎN TURE
MOONLIGHTING,MUNCĂ LA NEGRU
PASTORAL WORK,MUNCĂ PASTORALĂ
REPETITIVE WORK,MUNCĂ REPETITIVĂ
SEASONAL EMPLOYMENT,MUNCĂ SEZONIERĂ
WORKERS,MUNCITORI
AGRICULTURAL WORKERS,MUNCITORI AGRICOLI
SKILLED WORKERS,MUNCITORI CALIFICAȚI
INDUSTRIAL WORKERS,MUNCITORI INDUSTRIALI
CHILD WORKERS,MUNCITORI MINORI
UNSKILLED WORKERS,MUNCITORI NECALIFICAȚI
UNWAGED WORKERS,MUNCITORI NEPLĂTIȚI
SEMI-SKILLED WORKERS,MUNCITORI SEMICALIFICAȚI
FOREIGN WORKERS,MUNCITORI STRĂINI
MUSEUMS,MUZEE
NATURAL HISTORY MUSEUMS,MUZEE DE ISTORIE NATURALĂ
SCIENCE MUSEUMS,MUZEE DE ȘTIINȚĂ
MUSIC,MUZICĂ
MUSICIANS,MUZICIENI
NATIONALISM,NAȚIONALISM
NATIONALITY,NAȚIONALITATE
NATIONAL BACKGROUND,NAȚIONALITATE BIOGRAFICĂ
NATIONALIZATION,NAȚIONALIZARE
NATIONAL SOCIALISM,NAȚIONAL-SOCIALISM
AGGRESSOR NATIONS,NAȚIUNI AGRESOARE
NATALITY,NATALITATE
CHILDBIRTH,NAȘTERE
DELIVERY (PREGNANCY),NAȘTEREA PROPRIU-ZISĂ
STILLBIRTH,NAȘTEREA UNUI COPIL MORT
ILLEGITIMATE BIRTHS,NAȘTERI ILEGITIME
HOSPITAL BIRTHS,NAȘTERI ÎN SPITAL
HOME BIRTHS,NAȘTERI LA DOMICILIU
MULTIPLE BIRTHS,NAȘTERI MULTIPLE
PREMATURE BIRTHS,NAȘTERI PREMATURE
NATO,NATO
WILDLIFE,NATURĂ SĂLBATICĂ
HUMAN NATURE,NATURA UMANĂ
SHIPS,NAVE
SPACECRAFT,NAVE SPAȚIALE
COMMUTING,NAVETĂ
NAVIGATION,NAVIGAȚIE
NEGLIGENCE (LEGAL),NEGLIJENȚĂ (JURIDIC)
MEDICAL NEGLIGENCE,NEGLIJENȚĂ MEDICALĂ
COLLECTIVE BARGAINING,NEGOCIERE COLECTIVĂ
IMMORTALITY,NEMURIRE
NEO-FASCISM,NEOFASCISM
NEO-NAZISM,NEONAZISM
OPTING OUT (LOCAL EDUCATION AUTHORITY),NEPARTICIPARE (AUTORITATEA LOCALĂ PENTRU EDUCAȚIE)
GRANDCHILDREN,NEPOȚI
NEPOTISM,NEPOTISM
NUCLEAR FREEZE,NEPROLIFERARE NUCLEARĂ
NEUTRALITY,NEUTRALITATE
BASIC NEEDS,NEVOI PRIMARE
SOCIAL NEEDS,NEVOI SOCIALE
LABOUR FORCE NEEDS,NEVOILE FORȚELOR DE MUNCĂ
STANDARD OF LIVING,NIVEL DE TRAI
EDUCATIONAL LEVELS,NIVELURI EDUCAȚIONALE
TRAVELLING PEOPLE,NOMAZI
NON-FICTION,NON-FICȚIUNE
NORMS,NORME
LUCK,NOROC
NUDITY,NUDITATE
NUMBER OF DIVORCES,NUMĂRUL DIVORȚURILOR
APPOINTMENT TO JOB,NUMIRE ÎN FUNCȚIE
CHURCH APPOINTMENTS,NUMIRI ÎN CADRUL BISERICII
NUPTIALITY,NUPȚIALITATE
CHILD NUTRITION,NUTRIȚIA COPILULUI
SCIENTISTS,OAMENI DE ȘTIINȚĂ
OBEDIENCE,OBEDIENȚĂ
OBESITY,OBEZITATE
HABITS,OBICEIURI
CUSTOMS AND TRADITIONS,OBICEIURI ȘI TRADIȚII
MARRIAGE CUSTOMS,OBICEIURI LA CĂSĂTORIE
CONSCIENTIOUS OBJECTION,OBIECȚIE MORALĂ LA SERVICIUL MILITAR
ARCHAEOLOGICAL OBJECTS,OBIECTE ARHEOLOGICE
HANDICRAFTS,OBIECTE DE ARTIZANAT
UNIDENTIFIED FLYING OBJECTS,OBIECTE ZBURĂTOARE NEIDENTIFICATE
OBJECTIVES,OBIECTIVE
EDUCATIONAL OBJECTIVES,OBIECTIVE EDUCAȚIONALE
PUNISHMENT OBJECTIVES,OBIECTIVELE PEDEPSELOR
OBLIGATIONS,OBLIGAȚII
BONDS,OBLIGAȚIUNI
FATIGUE (PHYSIOLOGY),OBOSEALĂ (FIZIOLOGIE)
OBSERVATION (DATA COLLECTION),OBSERVAȚIE (COLECTARE DE DATE)
MASS OBSERVATION,OBSERVAREA MASELOR
OBSTETRICS,OBSTETRICĂ
OBSTRUCTION OF PUBLIC PLACES,OBSTRUCȚIA LOCURILOR PUBLICE
INTERFERENCE WITH CRIMINAL PROCEEDINGS,OBSTRUCȚIONAREA ACTIVITĂȚILOR POLIȚIEI
SPECTACLES,OCHELARI
OCCULT,OCULT
OCCUPATIONS,OCUPAȚII
CLANDESTINE EMPLOYMENT,OCUPAȚII CLANDESTINE
PROFESSIONAL OCCUPATIONS,OCUPAȚII PROFESIONALE
REST,ODIHNĂ
TORTS,OFENSE
SUPPLY,OFERTĂ
HOSPITAL BED PROVISION,OFERTA DE PATURI DIN SPITAL
LABOUR SUPPLY,OFERTA FORȚEI DE MUNCĂ
ELECTED OFFICIALS,OFICIALI ALEȘI
TRADE UNION OFFICIALS,OFICIALI SINDICALI
POST OFFICES,OFICII POȘTALE
POLICE OFFICERS,OFIȚERI DE POLIȚIE
SHEEP,OI
UNEMPLOYMENT,ȘOMAJ
YOUTH UNEMPLOYMENT,ȘOMAJ ÎN RÂNDUL TINERILOR
INVOLUNTARY SHORT TIME WORKING,ȘOMAJ TEHNIC
OMBUDSMEN,OMBUDSMEN
UNEMPLOYED,ȘOMERI
HOMICIDE,OMUCIDERE
ONOMASTICS,ONOMASTICĂ
OPERA,OPERĂ
CAESARIAN SECTIONS,OPERAȚIE DE CEZARIANĂ
MANAGEMENT OPERATIONS,OPERAȚIUNI DE MANAGEMENT
MILITARY OPERATIONS,OPERAȚIUNI MILITARE
WORKS OF ART,OPERE DE ARTĂ
PUBLIC OPINION,OPINIE PUBLICĂ
EMPLOYMENT OPPORTUNITIES,OPORTUNITĂȚI DE ANGAJARE
EDUCATIONAL OPPORTUNITIES,OPORTUNITĂȚI EDUCAȚIONALE
EQUAL OPPORTUNITY,OPORTUNITATE EGALĂ
LAWFUL OPPOSITION,OPOZIȚIE LEGALĂ
POLITICAL OPPOSITION,OPOZIȚIE POLITICĂ
POLITICAL OPPRESSION,OPRESIUNI POLITICE
OPTICIANS,OPTICIENI
OPTIMISM,OPTIMISM
SUMMER-TIME,ORĂ DE VARĂ
TOWNS,ORAȘE
BLINDNESS,ORBIRE
INJUNCTIONS,ORDINE
BILLS OF RIGHTS,ORDONANȚĂ PENTRU DREPTURILE ȘI LIBERTĂȚILE FUNDAMENTALE ALE OMULUI
TRADING HOURS,ORE DE COMERCIALIZARE
HOURS OF SUNLIGHT,ORE DE LUMINĂ NATURALĂ
OVERTIME,ORE SUPLIMENTARE
LAW ENFORCEMENT,ORGANE DE APLICARE A LEGII
WORLD TRADE ORGANIZATION,ORGANIZAȚIA MONDIALĂ A COMERȚULUI
UNITED NATIONS,ORGANIZAȚIA NAȚIUNILOR UNITE
ORGANIZATIONS,ORGANIZAȚII
WOMEN'S ORGANIZATIONS,ORGANIZAȚII ALE FEMEILOR
CHARITABLE ORGANIZATIONS,ORGANIZAȚII CARITABILE
CULTURAL ORGANIZATIONS,ORGANIZAȚII CULTURALE
YOUTH ORGANIZATIONS,ORGANIZAȚII DE TINERET
VOLUNTARY ORGANIZATIONS,ORGANIZAȚII DE VOLUNTARIAT
GOVERNMENT ORGANIZATIONS,ORGANIZAȚII GUVERNAMENTALE
LOCAL GOVERNMENT ORGANIZATIONS,ORGANIZAȚII GUVERNAMENTALE LOCALE
INTERNATIONAL ORGANIZATIONS,ORGANIZAȚII INTERNAȚIONALE
EMPLOYERS' ORGANIZATIONS,ORGANIZAȚII PATRONALE
SOCIAL WELFARE ORGANIZATIONS,ORGANIZAȚII PENTRU BUNĂSTARE SOCIALĂ
PRIVATE VOLUNTARY ORGANIZATIONS,ORGANIZAȚII PRIVATE DE VOLUNTARIAT
REGIONAL ORGANIZATIONS,ORGANIZAȚII REGIONALE
STUDENT ORGANIZATIONS,ORGANIZAȚII STUDENȚEȘTI
SEXUAL ORIENTATION,ORIENTARE SEXUALĂ
SOCIAL ORIGIN,ORIGINI SOCIALE
ORNITHOLOGY,ORNITOLOGIE
ORTHODOXY,ORTODOXIE
ORTHOPAEDICS,ORTOPEDIE
OSTEOPATHY,OSTEOPATIE
OTITIS MEDIA,OTITĂ MEDIE
PEACE,PACE
PACKAGE HOLIDAYS,PACHETE DE VACANȚĂ
TEACHING PACKAGES,PACHETE DIDACTICE
PATIENTS,PACIENȚI
PACIFISM,PACIFISM
WARSAW PACT,PACTUL DE LA VARȘOVIA
FUEL OILS,PĂCURĂ ȘI DERIVAȚI
FORESTS,PĂDURI
CONIFEROUS FORESTS,PĂDURI DE CONIFERE
TROPICAL FORESTS,PĂDURI TROPICALE
PALAEONTOLOGY,PALEONTOLOGIE
PALPITATIONS,PALPITAȚII
POPE,PAPA
CEREBRAL PALSY,PARALIZIE CEREBRALĂ
PARAPSYCHOLOGY,PARAPSIHOLOGIE
CAR PARKING AREAS,PARCĂRI
PARKS,PARCURI
NATIONAL PARKS,PARCURI NAȚIONALE
PARENTS,PĂRINȚI
ADOPTIVE PARENTS,PĂRINȚI ADOPTIVI
FOSTER PARENTS,PĂRINȚI VITREGI
EUROPEAN PARLIAMENT,PARLAMENTUL EUROPEAN
SURVIVING CIVIL PARTNERS,PARTENER SUPRAVIEȚUITOR DINTR-O UNUIUNE CIVILĂ
CIVIL PARTNERS,PARTENERI CIVILI
PARTNERSHIPS (BUSINESS),PARTENERIATE (AFACERI)
PARTNERSHIPS (PERSONAL),PARTENERIATE (PERSONALE)
CIVIL PARTNERSHIPS,PARTENERIATE CIVILE
ECONOMIC AGREEMENTS,PARTENERIATE ECONOMICE
PARTICIPATION,PARTICIPARE
CULTURAL PARTICIPATION,PARTICIPARE CULTURALĂ
EDUCATIONAL ATTENDANCE,PARTICIPARE ÎN DOMENIUL EDUCAȚIONAL
POLITICAL PARTICIPATION,PARTICIPARE POLITICĂ
SOCIAL PARTICIPATION,PARTICIPARE SOCIALĂ
STUDENT PARTICIPATION,PARTICIPARE STUDENȚEASCĂ
WORKERS PARTICIPATION,PARTICIPAREA ANGAJAȚILOR
CITIZEN PARTICIPATION,PARTICIPAREA CETĂȚENILOR
COMMUNITY PARTICIPATION,PARTICIPAREA COMUNITĂȚII
THEATRE ATTENDANCE,PARTICIPAREA LA TEATRU
JOB CHARACTERISTICS,PARTICULARITĂȚI ALE LOCULUI DE MUNCĂ
OPPOSITION PARTIES,PARTIDE DE OPOZIȚIE
POLITICAL PARTIES,PARTIDE POLITICE
SKI SLOPES AND TRACKS,PÂRTII ȘI TRASEE DE SKI
MASS MEDIA BIAS,PĂRTINIRE ÎN MASS MEDIA
PASSENGERS,PASAGERI
PIERS,PASARELĂ DEASUPRA APEI
BIRDS,PĂSĂRI
POULTRY,PĂSĂRI DE CURTE
SKATING,PATINAJ
PATHOLOGY,PATOLOGIE
NATURAL HERITAGE,PATRIMONIU MONDIAL
PATRIOTISM,PATRIOTISM
PATRONAGE,PATRONAJ
PUNISHMENT,PEDEAPSĂ
CORPORAL PUNISHMENT,PEDEAPSĂ CORPORALĂ
LONG TERM IMPRISONMENT,PEDEAPSĂ CU ÎNCHISOAREA PE TERMEN LUNG
DEATH PENALTY,PEDEAPSA CU MOARTEA
SCHOOL PUNISHMENTS,PEDEPSE ȘCOLARE
NON-CUSTODIAL PUNISHMENT,PEDEPSE NEPRIVATIVE DE LIBERTATE
IMPRISONMENT,PEDEPSE PRIVATIVE DE LIBERTATE
PAEDIATRICS,PEDIATRIE
CHIROPODY,PEDICHIURĂ
LANDSCAPE,PEISAJ
ALIMONY,PENSIE ALIMENTARĂ
CHILD SUPPORT PAYMENTS,PENSIE ALIMENTARĂ A COPILULUI
PENSIONS,PENSII
STATE RETIREMENT PENSIONS,PENSII DE STAT (DOAR ÎN URMA MUNCII)
SURVIVORS' BENEFITS,PENSII DE URMAȘ
OCCUPATIONAL PENSIONS,PENSII OCUPAȚIONALE
PRIVATE PERSONAL PENSIONS,PENSII PERSONALE PRIVATE
PRIVATE PENSIONS,PENSII PRIVATE
RETIREMENT,PENSIONARE
EARLY RETIREMENT,PENSIONARE TIMPURIE
HOSTELS,PENSIUNI
PERCEPTION,PERCEPȚIE
EXTRASENSORY PERCEPTION,PERCEPȚIE EXTRASENZORIALĂ
WALLS,PEREȚI
PERFORMANCE,PERFORMANȚĂ
SCHOOL TIME,PERIOADĂ DE ȘCOLARIZARE
PROBATION PERIOD,PERIOADĂ DE PROBĂ
PROBATIONERS,PERSOANĂ CARE BENEFICIAZĂ DE SUSPENDAREA PEDEPSEI SUB SUPRAVEGHERE
CHIEF INCOME EARNERS,PERSOANA CU VENITUL CEL MAI MARE DIN GOSPODĂRIE
HOME-BASED WORKERS,PERSOANE CARE LUCREAZĂ LA DOMICILIU
CHILD-MINDERS,PERSOANE CARE SUPRAVEGHEAZĂ COPII
HOMEMAKERS,PERSOANE CASNICE
WEALTHY PERSONS,PERSOANE CU AVERE
HEARING IMPAIRED PERSONS,PERSOANE CU DEFICIENȚE DE AUZ
SPEECH IMPAIRED PERSONS,PERSOANE CU DIFICULTĂȚI DE VORBIRE
DISABLED PERSONS,PERSOANE CU DIZABILITĂȚI
PHYSICALLY DISABLED PERSONS,PERSOANE CU DIZABILITĂȚI FIZICE
MENTALLY DISABLED PERSONS,PERSOANE CU DIZABILITĂȚI MENTALE
VISUALLY IMPAIRED PERSONS,PERSOANE CU DIZABILITĂȚI VIZUALE
SINGLES,PERSOANE NECĂSĂTORITE
SOCIAL DROP-OUTS,PERSOANE NEINTEGRATE SOCIAL
ILLEGITIMATE PERSONS,PERSOANE NELEGITIME
PUBLIC FIGURES,PERSOANE PUBLICE
POOR PERSONS,PERSOANE SĂRACE
PERSONNEL,PERSONAL (RESURSE UMANE)
EDUCATIONAL PERSONNEL,PERSONAL ANGAJAT ÎN DOMENIUL EDUCAȚIEI
EDUCATIONAL SUPPORT PERSONNEL,PERSONAL AUXILIAR DIN ÎNVĂȚĂMÂNT
TELEVISION AND RADIO PERSONNEL,PERSONAL DE RADIO ȘI TELEVIZIUNE
SECURITY PERSONNEL,PERSONAL DE SECURITATE
HIGHER AND FURTHER EDUCATION TEACHING PERSONNEL,PERSONAL DIDACTIC DIN EDUCAȚIA UNIVERSITARĂ ȘI POSTUNIVERSITARĂ
SOCIAL SCIENCE PERSONNEL,PERSONAL DIN DOMENIUL ȘTIINȚELOR SOCIALE
POLICE PERSONNEL,PERSONAL DIN POLIȚIE
IT PERSONNEL,PERSONAL IT
MILITARY PERSONNEL,PERSONAL MILITAR
PARAMEDICAL PERSONNEL,PERSONAL PARAMEDICAL
RESEARCH WORKERS,PERSONAL PENTRU ACTIVITĂȚI DE CERCETARE
PROFESSIONAL PERSONNEL,PERSONAL PROFESIONIST
RELIGIOUS PERSONNEL,PERSONAL RELIGIOS
SALES PERSONNEL,PERSONAL RESPONSABIL DE VÂNZĂRI
SCIENTIFIC PERSONNEL,PERSONAL ȘTIINȚIFIC
PERSONALITY,PERSONALITATE
MUSEUM PERSONNEL,PERSONALUL MUZEELOR
LOBBYING,PERSUASIUNE POLITICĂ
FISHING (SPORT),PESCUIT (SPORT)
PESTICIDES,PESTICIDE
PETROL,PETROL
PETROLEUM,PETROL NERAFINAT
MARKETS (ECONOMICS),PIAȚĂ (ECONOMIE)
LABOUR MARKET,PIAȚA MUNCII
FINANCIAL MARKETS,PIEȚE FINANCIARE
STREET MARKETS,PIEȚE STRADALE
SKIN,PIELE
DEAFNESS,PIERDEREA AUZULUI
PEDESTRIANS,PIETONI
PYLONS,PILONI
CYCLE LANES,PISTE DE BICICLETĂ
DENTURES,PLĂCI DENTARE
PAYMENTS,PLĂȚI
DEVELOPMENT PLANNING,PLAN DE DEZVOLTARE
CURRICULUM,PLAN DE ÎNVĂȚĂMÂNT
PLANNING,PLANIFICARE
ECONOMIC PLANNING,PLANIFICARE ECONOMICĂ
EDUCATIONAL PLANNING,PLANIFICARE EDUCAȚIONALĂ
FAMILY PLANNING,PLANIFICARE FAMILIALĂ
INDUSTRIAL PLANNING,PLANIFICARE INDUSTRIALĂ
REGIONAL PLANNING,PLANIFICARE REGIONALĂ
RURAL PLANNING,PLANIFICARE RURALĂ
ENVIRONMENTAL PLANNING,PLANIFICAREA MEDIULUI
TRANSPORT PLANNING,PLANIFICAREA TRANSPORTURILOR
CRYING,PLÂNS
PLANTS,PLANTE
BLOOD PLASMA,PLASMĂ SANGVINĂ
REDUNDANCY PAY,PLATĂ COMPENSATORIE
RATES OF PAY,PLATĂ PE UNITATEA DE TIMP
BOREDOM,PLICTISEALĂ
RAIN,PLOAIE
ACID RAIN,PLOAIE ACIDĂ
CULTURAL PLURALISM,PLURALISM CULTURAL
PNEUMONIA,PNEUMONIE
FLOORS,PODELE
BRIDGES,PODURI
MEASLES,POJAR
POLITICS,POLITICĂ
LOCAL GOVERNMENT POLICY,POLITICA ADMINISTRAȚIILOR LOCALE
AGRICULTURAL POLICY,POLITICĂ AGRICOLĂ
INCOMES POLICY,POLITICA BUGETULUI DE VENITURI ȘI DE CHELTUIELI
SCHOOL POLICY,POLITICĂ ȘCOLARĂ
TRADE POLICY,POLITICĂ COMERCIALĂ
CULTURAL POLICY,POLITICĂ CULTURALĂ
DEFENCE AND STATE SECURITY POLICY,POLITICA DE APĂRARE ȘI DE SECURITATE A STATULUI
DEVELOPMENT POLICY,POLITICĂ DE DEZVOLTARE
IMMIGRATION POLICY,POLITICA DE IMIGRARE
HOUSING POLICY,POLITICA DE LOCUIRE
ENVIRONMENTAL POLICY,POLITICĂ DE MEDIU
LABOUR POLICY,POLITICĂ DE MUNCĂ
EMPLOYMENT POLICY,POLITICĂ DE OCUPARE A FORȚEI DE MUNCĂ
PARTY POLITICS,POLITICĂ DE PARTID
PERSONNEL POLICY,POLITICĂ DE PERSONAL
PRICE POLICY,POLITICĂ DE PREȚURI
HEALTH POLICY,POLITICĂ DE SĂNĂTATE PUBLICĂ
POPULATION POLICY,POLITICĂ DEMOGRAFICĂ
ECONOMIC POLICY,POLITICĂ ECONOMICĂ
EDUCATIONAL POLICY,POLITICĂ EDUCAȚIONALĂ
ENERGY POLICY,POLITICĂ ENERGETICĂ
FOREIGN POLICY,POLITICĂ EXTERNĂ
FAMILY POLICY,POLITICA FAMILIEI
FINANCIAL POLICY,POLITICĂ FINANCIARĂ
FISCAL POLICY,POLITICĂ FISCALĂ
GOVERNMENT POLICY,POLITICA GUVERNULUI
INDUSTRIAL POLICY,POLITICĂ INDUSTRIALĂ
INTERNAL POLITICS,POLITICĂ INTERNĂ
INTERNATIONAL POLITICS,POLITICĂ INTERNAȚIONALĂ
LANGUAGE POLICY,POLITICĂ LINGVISTICĂ
MONETARY POLICY,POLITICĂ MONETARĂ
MUSEUM POLICY,POLITICA MUZEELOR
NATIONAL POLICY,POLITICĂ NAȚIONALĂ
REGIONAL POLICY,POLITICĂ REGIONALĂ
RURAL POLICY,POLITICĂ RURALĂ
WAGES POLICY,POLITICĂ SALARIALĂ
SOCIAL AND WELFARE POLICY,POLITICĂ SOCIALĂ ȘI DE BUNĂSTARE
TRANSPORT POLICY,POLITICA TRANSPORTURILOR
CUSTOMS POLICY,POLITICĂ VAMALĂ
POLICY,POLITICI
POLITICAL PARTY POLICIES,POLITICI ALE PARTIDELOR POLITICE
DRUG POLICY,POLITICI ÎN MATERIE DE DROGURI ȘI MEDICAMENTE
SCIENCE POLICY,POLITICI PENTRU ȘTIINȚĂ
POLITICIANS,POLITICIENI
POLLUTANTS,POLUANȚI
POLLUTION,POLUARE
OIL POLLUTION,POLUARE CU PETROL
NOISE POLLUTION,POLUARE FONICĂ
INDUSTRIAL POLLUTION,POLUARE INDUSTRIALĂ
MARINE POLLUTION,POLUARE MARITIMĂ
VISUAL POLLUTION,POLUARE VIZUALĂ
AIR POLLUTION,POLUAREA AERULUI
WATER POLLUTION,POLUAREA APELOR
