Preferred Term,RO PT,Role,Relationship PT,RO Relationship PT
ADULT EDUCATION INSTITUTIONS,INSTITUȚII PENTRU EDUCAREA ADULȚILOR,RT        ,VOCATIONAL EDUCATION INSTITUTIONS,INSTITUȚII DE EDUCAȚIE VOCAȚIONALE
ADULT EDUCATION TEACHERS,FORMATORI,BT        ,HIGHER AND FURTHER EDUCATION TEACHING PERSONNEL,PERSONAL DIDACTIC DIN EDUCA?IA UNIVERSITARA ?I POSTUNIVERSITARA
ADULTS,ADULȚI,BT        ,AGE GROUPS,GRUPURI DE VÂRSTĂ
ADULTS,ADULȚI,RT        ,PARENTS,PĂRINȚI
ADVERTISING,PUBLICITATE,BT        ,MASS COMMUNICATION,COMUNICARE DE MASĂ
ADVERTISING,PUBLICITATE,NT        ,DIRECT MAILING,PUBLICITATE PRIN POȘTĂ
ADVERTISING,PUBLICITATE,NT        ,INTERNET ADVERTISING,PUBLICITATE PE INTERNET
ADVERTISING,PUBLICITATE,NT        ,PRESS ADVERTISING,PUBLICITATE ÎN PRESĂ
ADVERTISING,PUBLICITATE,NT        ,RADIO ADVERTISING,PUBLICITATE RADIO
ADVERTISING,PUBLICITATE,NT        ,TELEVISION ADVERTISING,PUBLICITATE TELEVIZATĂ
ADVERTISING,PUBLICITATE,RT        ,LOBBYING,PERSUASIUNE POLITICĂ
ADVERTISING,PUBLICITATE,RT        ,MARKETING,COMERCIALIZARE
ADVERTISING,PUBLICITATE,RT        ,PRESS RELEASES,COMUNICATE DE PRESĂ
ADVERTISING,PUBLICITATE,RT        ,PUBLIC RELATIONS,RELAȚII PUBLICE
ADVICE,SFAT,NT        ,CAREERS GUIDANCE,CONSILIERE ÎN CARIERĂ
ADVICE,SFAT,NT        ,EDUCATIONAL GUIDANCE,ÎNDRUMARE EDUCAȚIONALĂ
ADVICE,SFAT,NT        ,FINANCIAL ADVICE,CONSULTANȚĂ FINANCIARĂ
ADVICE,SFAT,NT        ,HEALTH ADVICE,SFATURI MEDICALE
ADVICE,SFAT,NT        ,LEGAL ADVICE,CONSILIERE JURIDICĂ
ADVICE,SFAT,RT        ,COUNSELLING,CONSILIERE
ADVICE,SFAT,RT        ,INFORMATION SERVICES,RO_INFORMATION SERVICES
ADVICE,SFAT,RT        ,TELEPHONE HELP LINES,LINII TELEFONICE DE ASISTEN?A
ADVOCACY (LEGAL),APĂRARE (LEGALĂ),BT        ,LEGAL PROCEDURE,PROCEDURĂ JURIDICĂ
ADVOCACY (LEGAL),APĂRARE (LEGALĂ),RT        ,LAWYERS,AVOCAȚI
ADVOCACY (LEGAL),APĂRARE (LEGALĂ),RT        ,LEGAL PROFESSION,PROFESIA DE JURIST
AERIAL SPORTS,SPORTURI AERIENE,BT        ,SPORT,SPORT
AERIAL SPORTS,SPORTURI AERIENE,RT        ,AIR TRANSPORT,TRANSPORT AERIAN
AEROBIC EXERCISE,EXERCIȚII AEROBICE,BT        ,EXERCISE,EXERCIȚII FIZICE
AGE,VÂRSTĂ,NT        ,EDUCATIONAL ADMISSION AGE,VÎRSTĂ DE INTRARE ÎN SISTEMUL EDUCAȚIONAL
AGE,VÂRSTĂ,NT        ,LEGAL AGE,VÎRSTĂ LEGALĂ
AGE,VÂRSTĂ,NT        ,RETIREMENT AGE,VÎRSTĂ A PENSIONĂRII
AGE,VÂRSTĂ,NT        ,SCHOOL-LEAVING AGE,VÂRSTA LA IEȘIREA DIN SISTEMUL EDUCAȚIONAL
AGE,VÂRSTĂ,NT        ,SPOUSE'S AGE,VÂRSTA SOȚULUI/SOȚIEI
AGE,VÂRSTĂ,RT        ,AGE GROUPS,GRUPURI DE VÂRSTĂ
AGE,VÂRSTĂ,RT        ,AGEING,ÎMBĂTRÂNIRE
AGE,VÂRSTĂ,RT        ,OLD AGE,BĂTRÂNEȚE
AGE,VÂRSTĂ,RT        ,TIME,TIMP
AGE DIFFERENCES,DIFERENȚE DE VÂRSTĂ,BT        ,GENERATIONS (AGE),GENERAȚII (VÂRSTĂ)
AGE DIFFERENCES,DIFERENȚE DE VÂRSTĂ,RT        ,GENERATION GAP,DECALAJ ÎNTRE GENERAȚII
AGE DISCRIMINATION,DISCRIMINARE PE CRITERII DE VÂRSTĂ,BT        ,DISCRIMINATION,DISCRIMINARE
AGE DISTRIBUTION,DISTRIBUȚIE PE VÂRSTE,BT        ,POPULATION DISTRIBUTION,DISTRIBUȚIA POPULAȚIEI
AGE DISTRIBUTION,DISTRIBUȚIE PE VÂRSTE,RT        ,AGE GROUPS,GRUPURI DE VÂRSTĂ
AGE GROUPS,GRUPURI DE VÂRSTĂ,NT        ,ADOLESCENCE,ADOLESCENȚĂ
AGE GROUPS,GRUPURI DE VÂRSTĂ,NT        ,ADULTS,ADULȚI
AGE GROUPS,GRUPURI DE VÂRSTĂ,NT        ,CHILDHOOD,COPILĂRIE
AGE GROUPS,GRUPURI DE VÂRSTĂ,NT        ,GENERATIONS (AGE),GENERAȚII (VÂRSTĂ)
AGE GROUPS,GRUPURI DE VÂRSTĂ,NT        ,OLD AGE,BĂTRÂNEȚE
AGE GROUPS,GRUPURI DE VÂRSTĂ,NT        ,YOUTH,TINERI
AGE GROUPS,GRUPURI DE VÂRSTĂ,RT        ,AGE,VÂRSTĂ
AGE GROUPS,GRUPURI DE VÂRSTĂ,RT        ,AGE DISTRIBUTION,DISTRIBUȚIE PE VÂRSTE
AGEING,ÎMBĂTRÂNIRE,BT        ,LIFE CYCLE,CICLU DE VIAȚĂ
AGEING,ÎMBĂTRÂNIRE,RT        ,AGE,VÂRSTĂ
AGEING,ÎMBĂTRÂNIRE,RT        ,DEATH,MOARTE
AGEING,ÎMBĂTRÂNIRE,RT        ,DEMENTIA,DEMENȚĂ
AGEING,ÎMBĂTRÂNIRE,RT        ,MENOPAUSE,MENOPAUSĂ
AGEING,ÎMBĂTRÂNIRE,RT        ,OLD AGE,BĂTRÂNEȚE
AGEING POPULATION,ÎMBĂTRÂNIREA POPULAȚIEI,BT        ,POPULATION DYNAMICS,DINAMICA POPULAȚIEI
AGGRESSIVENESS,AGRESIVITATE,BT        ,INTERPERSONAL CONFLICT,CONFLICT INTERPERSONAL
AGGRESSIVENESS,AGRESIVITATE,BT        ,PERSONALITY TRAITS,TRĂSĂTURI DE PERSONALITATE
AGGRESSOR NATIONS,NAȚIUNI AGRESOARE,BT        ,WAR,RĂZBOI
AGRICULTURAL BIOTECHNOLOGY,RO_AGRICULTURAL BIOTECHNOLOGY,BT        ,BIOTECHNOLOGY,BIOTEHNOLOGIE
AGRICULTURAL BIOTECHNOLOGY,RO_AGRICULTURAL BIOTECHNOLOGY,NT        ,GENETICALLY MODIFIED CROPS,CULTURI MODIFICATE GENETIC
AGRICULTURAL BIOTECHNOLOGY,RO_AGRICULTURAL BIOTECHNOLOGY,NT        ,GENETICALLY MODIFIED FOOD,ALIMENTE MODIFICATE GENETIC
AGRICULTURAL BUILDINGS,CLĂDIRI AGRICOLE,BT        ,BUILDINGS,CLĂDIRI
AGRICULTURAL DEVELOPMENT,DEZVOLTARE AGRICOLĂ,BT        ,AGRICULTURAL ECONOMICS,ECONOMIE AGRICOLĂ
AGRICULTURAL DEVELOPMENT,DEZVOLTARE AGRICOLĂ,BT        ,ECONOMIC AND SOCIAL DEVELOPMENT,DEZVOLTARE SOCIO-ECONOMICĂ
AGRICULTURAL DEVELOPMENT,DEZVOLTARE AGRICOLĂ,NT        ,LAND AMELIORATION,ÎMBUNĂTĂȚIREA SOLULUI
AGRICULTURAL ECONOMICS,ECONOMIE AGRICOLĂ,BT        ,ECONOMICS,ECONOMIE
AGRICULTURAL ECONOMICS,ECONOMIE AGRICOLĂ,NT        ,AGRICULTURAL DEVELOPMENT,DEZVOLTARE AGRICOLĂ
AGRICULTURAL ECONOMICS,ECONOMIE AGRICOLĂ,NT        ,AGRICULTURAL POLICY,POLITICĂ AGRICOLĂ
AGRICULTURAL ECONOMICS,ECONOMIE AGRICOLĂ,NT        ,AGRICULTURAL PRODUCTION,PRODUCȚIE AGRICOLĂ
AGRICULTURAL ECONOMICS,ECONOMIE AGRICOLĂ,NT        ,AGRICULTURAL SUBSIDIES,SUBVENȚII AGRICOLE
AGRICULTURAL ECONOMICS,ECONOMIE AGRICOLĂ,NT        ,SUBSISTENCE AGRICULTURE,AGRICULTURĂ DE SUBZISTENȚĂ
AGRICULTURAL ECONOMICS,ECONOMIE AGRICOLĂ,RT        ,AGRICULTURAL ENTERPRISES,ÎNTREPRINDERI AGRICOLE
AGRICULTURAL ECONOMICS,ECONOMIE AGRICOLĂ,RT        ,AGRICULTURAL MARKETING,MARKETING AGRICOL
AGRICULTURAL ECONOMICS,ECONOMIE AGRICOLĂ,RT        ,AGRICULTURAL WORKERS,MUNCITORI AGRICOLI
AGRICULTURAL ECONOMICS,ECONOMIE AGRICOLĂ,RT        ,LAND ECONOMICS,ECONOMIE FUNCIARĂ
AGRICULTURAL ECONOMICS,ECONOMIE AGRICOLĂ,RT        ,RURAL ECONOMICS,ECONOMIE RURALĂ
AGRICULTURAL ECONOMICS,ECONOMIE AGRICOLĂ,RT        ,RURAL ENVIRONMENT,MEDIU RURAL
AGRICULTURAL ENTERPRISES,ÎNTREPRINDERI AGRICOLE,BT        ,BUSINESSES,AFACERI
AGRICULTURAL ENTERPRISES,ÎNTREPRINDERI AGRICOLE,RT        ,AGRICULTURAL ECONOMICS,ECONOMIE AGRICOLĂ
AGRICULTURAL ENTERPRISES,ÎNTREPRINDERI AGRICOLE,RT        ,AGRICULTURAL MARKETING,MARKETING AGRICOL
AGRICULTURAL EQUIPMENT,ECHIPAMENT AGRICOL,BT        ,EQUIPMENT,ECHIPAMENT
AGRICULTURAL EQUIPMENT,ECHIPAMENT AGRICOL,RT        ,FARM VEHICLES,VEHICULE AGRICOLE
AGRICULTURAL INNOVATION,INOVAȚII AGRICOLE,BT        ,INNOVATION,SCHIMBARE TEHNOLOGICĂ
AGRICULTURAL INNOVATION,INOVAȚII AGRICOLE,RT        ,AGRICULTURAL RESEARCH,CERCETARE AGRICOLĂ
AGRICULTURAL MARKETING,MARKETING AGRICOL,BT        ,MARKETING,COMERCIALIZARE
AGRICULTURAL MARKETING,MARKETING AGRICOL,RT        ,AGRICULTURAL ECONOMICS,ECONOMIE AGRICOLĂ
AGRICULTURAL MARKETING,MARKETING AGRICOL,RT        ,AGRICULTURAL ENTERPRISES,ÎNTREPRINDERI AGRICOLE
AGRICULTURAL NOISE,ZGOMOT ÎN AGRICULTURĂ,BT        ,NOISE POLLUTION,POLUARE FONICĂ
AGRICULTURAL NOISE,ZGOMOT ÎN AGRICULTURĂ,RT        ,ACOUSTICS,ACUSTICĂ
AGRICULTURAL POLICY,POLITICĂ AGRICOLĂ,BT        ,AGRICULTURAL ECONOMICS,ECONOMIE AGRICOLĂ
AGRICULTURAL POLICY,POLITICĂ AGRICOLĂ,BT        ,ECONOMIC POLICY,POLITICĂ ECONOMICĂ
AGRICULTURAL PRODUCTION,PRODUCȚIE AGRICOLĂ,BT        ,AGRICULTURAL ECONOMICS,ECONOMIE AGRICOLĂ
AGRICULTURAL PRODUCTION,PRODUCȚIE AGRICOLĂ,BT        ,PRODUCTION,PRODUCȚIE
AGRICULTURAL PRODUCTION,PRODUCȚIE AGRICOLĂ,NT        ,AGRICULTURAL YIELDS,RECOLTE AGRICOLE
AGRICULTURAL PRODUCTION,PRODUCȚIE AGRICOLĂ,NT        ,FOOD PRODUCTION,PRODUCȚIE ALIMENTARĂ
AGRICULTURAL PRODUCTION,PRODUCȚIE AGRICOLĂ,NT        ,GENETICALLY MODIFIED CROPS,CULTURI MODIFICATE GENETIC
AGRICULTURAL PRODUCTION,PRODUCȚIE AGRICOLĂ,RT        ,AGRICULTURAL PRODUCTS,PRODUSE AGRICOLE
AGRICULTURAL PRODUCTS,PRODUSE AGRICOLE,BT        ,PRODUCTS,PRODUSE
AGRICULTURAL PRODUCTS,PRODUSE AGRICOLE,NT        ,ANIMAL PRODUCTS,PRODUSE DE ORIGINE ANIMALĂ
AGRICULTURAL PRODUCTS,PRODUSE AGRICOLE,NT        ,CEREAL PRODUCTS,PRODUSE CEREALIERE
AGRICULTURAL PRODUCTS,PRODUSE AGRICOLE,NT        ,CROPS,RECOLTĂ AGRICOLĂ
AGRICULTURAL PRODUCTS,PRODUSE AGRICOLE,RT        ,AGRICULTURAL PRODUCTION,PRODUCȚIE AGRICOLĂ
AGRICULTURAL PRODUCTS,PRODUSE AGRICOLE,RT        ,FOOD PRODUCTION,PRODUCȚIE ALIMENTARĂ
AGRICULTURAL RESEARCH,CERCETARE AGRICOLĂ,BT        ,RESEARCH,CERCETARE
AGRICULTURAL RESEARCH,CERCETARE AGRICOLĂ,RT        ,AGRICULTURAL INNOVATION,INOVAȚII AGRICOLE
AGRICULTURAL SUBSIDIES,SUBVENȚII AGRICOLE,BT        ,AGRICULTURAL ECONOMICS,ECONOMIE AGRICOLĂ
AGRICULTURAL SUBSIDIES,SUBVENȚII AGRICOLE,BT        ,SUBSIDIES,SUBVENȚII
AGRICULTURAL SUBSIDIES,SUBVENȚII AGRICOLE,RT        ,GRANTS,GRANTURI
AGRICULTURAL WORKERS,MUNCITORI AGRICOLI,BT        ,WORKERS,MUNCITORI
AGRICULTURAL WORKERS,MUNCITORI AGRICOLI,BT        ,WORKERS BY PROFESSION,PROFESII
AGRICULTURAL WORKERS,MUNCITORI AGRICOLI,RT        ,AGRICULTURAL ECONOMICS,ECONOMIE AGRICOLĂ
AGRICULTURAL WORKERS,MUNCITORI AGRICOLI,RT        ,FARMERS,FERMIERI
AGRICULTURAL WORKERS,MUNCITORI AGRICOLI,RT        ,MANUAL WORKERS,MANUFACTURIERI
AGRICULTURAL WORKERS,MUNCITORI AGRICOLI,RT        ,OCCUPATIONS,OCUPAȚII
AGRICULTURAL YIELDS,RECOLTE AGRICOLE,BT        ,AGRICULTURAL PRODUCTION,PRODUCȚIE AGRICOLĂ
AGRICULTURAL YIELDS,RECOLTE AGRICOLE,RT        ,CROPS,RECOLTĂ AGRICOLĂ
AGRICULTURE, FORESTRY AND FISHERY EDUCATION,INSTRUIRE AGRICOLĂ, FORESTIERĂ ȘI PISCICOLĂ,BT        
AGRICULTURE, FORESTRY AND FISHERY EDUCATION,INSTRUIRE AGRICOLĂ, FORESTIERĂ ȘI PISCICOLĂ,NT        
AGRICULTURE AND VETERINARY EDUCATION,EDUCAȚIE AGRICOLĂ ȘI VETERINARĂ,BT        ,FIELDS OF STUDY,DOMENII DE STUDIU
AGRICULTURE AND VETERINARY EDUCATION,EDUCAȚIE AGRICOLĂ ȘI VETERINARĂ,NT        ,AGRICULTURE, FORESTRY AND FISHERY EDUCATION
AGRICULTURE AND VETERINARY EDUCATION,EDUCAȚIE AGRICOLĂ ȘI VETERINARĂ,NT        ,VETERINARY EDUCATION,EDUCAȚIE VETERINARĂ
AGRICULTURE EDUCATION,EDUCA?IE AGRICOLA,BT        ,AGRICULTURE, FORESTRY AND FISHERY EDUCATION
AID,ASISTENȚĂ INTERNAȚIONALĂ,BT        ,ECONOMICS,ECONOMIE
AID,ASISTENȚĂ INTERNAȚIONALĂ,NT        ,DEVELOPMENT AID (INTERNATIONAL),AJUTOR PENTRU DEZVOLTARE (INTERNAȚIONAL)
AID,ASISTENȚĂ INTERNAȚIONALĂ,NT        ,DISASTER RELIEF,AJUTOR ÎN CAZ DE CALAMITĂȚI
AID,ASISTENȚĂ INTERNAȚIONALĂ,NT        ,FOOD AID,AJUTOR ALIMENTAR
AID,ASISTENȚĂ INTERNAȚIONALĂ,NT        ,MILITARY AID,AJUTOR MILITAR
AID,ASISTENȚĂ INTERNAȚIONALĂ,NT        ,TECHNICAL ASSISTANCE,ASISTENȚĂ TEHNICĂ
AID,ASISTENȚĂ INTERNAȚIONALĂ,NT        ,VOLUNTARY AID,AJUTOR VOLUNTAR
AID,ASISTENȚĂ INTERNAȚIONALĂ,NT        ,WAR RELIEF,AJUTOARE DE RĂZBOI
AID,ASISTENȚĂ INTERNAȚIONALĂ,RT        ,DONOR COUNTRIES,ȚĂRI DONATOARE
AID,ASISTENȚĂ INTERNAȚIONALĂ,RT        ,ECONOMIC AID,AJUTOR ECONOMIC
AID,ASISTENȚĂ INTERNAȚIONALĂ,RT        ,INTERNATIONAL COOPERATION,COOPERARE INTERNAȚIONALĂ
AID,ASISTENȚĂ INTERNAȚIONALĂ,RT        ,INTERNATIONAL POLITICS,POLITICĂ INTERNAȚIONALĂ
AID,ASISTENȚĂ INTERNAȚIONALĂ,RT        ,RECIPIENT COUNTRIES,ȚĂRI BENEFICIARE
AIDS (DISEASE),S.I.D.A. (BOALA),BT        ,HIV INFECTIONS,INFECȚII CU VIRUSUL HIV
AIDS FOR THE DISABLED,AJUTOARE PENTRU PERSOANE CU DIZABILITĂȚI,BT        ,MEDICAL EQUIPMENT AND SUPPLIES,ECHIPAMENT MEDICAL ȘI CONSUMABILE
AIDS FOR THE DISABLED,AJUTOARE PENTRU PERSOANE CU DIZABILITĂȚI,NT        ,MOBILITY AIDS,RO_MOBILITY AIDS
AIDS FOR THE DISABLED,AJUTOARE PENTRU PERSOANE CU DIZABILITĂȚI,RT        ,DISABLED FACILITIES,INFRASTRUCTURĂ PENTRU PERSOANE CU DIZABILITĂȚI
AIDS FOR THE DISABLED,AJUTOARE PENTRU PERSOANE CU DIZABILITĂȚI,RT        ,DISABLED PERSONS,PERSOANE CU DIZABILITĂȚI
AIDS FOR THE DISABLED,AJUTOARE PENTRU PERSOANE CU DIZABILITĂȚI,RT        ,PHYSICAL MOBILITY,MOBILITATE FIZICĂ
AIR ACCIDENTS,ACCIDENTE ÎN AER,BT        ,TRANSPORT ACCIDENTS,ACCIDENTE LA TRANSPORT
AIR ACCIDENTS,ACCIDENTE ÎN AER,RT        ,AIR SAFETY,SIGURANȚĂ ÎN TRAFICUL AERIAN
AIR ACCIDENTS,ACCIDENTE ÎN AER,RT        ,AIR TRAFFIC,TRAFIC AERIAN
AIR ACCIDENTS,ACCIDENTE ÎN AER,RT        ,AIR TRANSPORT,TRANSPORT AERIAN
AIR ACCIDENTS,ACCIDENTE ÎN AER,RT        ,AIR TRAVEL,CĂLĂTORII AERIENE
AIR CONDITIONING,AER CONDIȚIONAT,BT        ,BUILDING SERVICES,UTILITĂȚI PENTRU CLĂDIRI
AIR CONDITIONING,AER CONDIȚIONAT,RT        ,WINDOWS,FERESTRE
AIR FORCES,FORȚE AERIENE,BT        ,ARMED FORCES,FORȚE ARMATE
AIR POLLUTION,POLUAREA AERULUI,BT        ,POLLUTION,POLUARE
AIR POLLUTION,POLUAREA AERULUI,NT        ,ACID RAIN,PLOAIE ACIDĂ
AIR POLLUTION,POLUAREA AERULUI,NT        ,PASSIVE SMOKING,FUMAT PASIV
AIR POLLUTION,POLUAREA AERULUI,RT        ,CHEMICALS,CHIMICALE
AIR POLLUTION,POLUAREA AERULUI,RT        ,FUMES,EMANAȚII
AIR POLLUTION,POLUAREA AERULUI,RT        ,INDUSTRIAL POLLUTION,POLUARE INDUSTRIALĂ
AIR POLLUTION,POLUAREA AERULUI,RT        ,POLLUTANTS,POLUANȚI
AIR POLLUTION,POLUAREA AERULUI,RT        ,RADIATION HAZARDS,RISC DE RADIAȚII
AIR POLLUTION,POLUAREA AERULUI,RT        ,SMELL,MIROSURI
AIR POLLUTION,POLUAREA AERULUI,RT        ,SMOKE,FUM
AIR SAFETY,SIGURANȚĂ ÎN TRAFICUL AERIAN,BT        ,TRANSPORT SAFETY,SIGURANȚA TRANSPORTURILOR
AIR SAFETY,SIGURANȚĂ ÎN TRAFICUL AERIAN,NT        ,AIRPORT SECURITY,SECURITATE AEROPORTUARĂ
AIR SAFETY,SIGURANȚĂ ÎN TRAFICUL AERIAN,RT        ,AIR ACCIDENTS,ACCIDENTE ÎN AER
AIR SAFETY,SIGURANȚĂ ÎN TRAFICUL AERIAN,RT        ,AIR TRAFFIC,TRAFIC AERIAN
AIR SAFETY,SIGURANȚĂ ÎN TRAFICUL AERIAN,RT        ,AIR TRANSPORT,TRANSPORT AERIAN
AIR SAFETY,SIGURANȚĂ ÎN TRAFICUL AERIAN,RT        ,VEHICLE RESTRAINT SYSTEMS,SISTEME DE SIGURANȚĂ ALE VEHICULELOR
AIR TRAFFIC,TRAFIC AERIAN,BT        ,TRAFFIC,TRAFIC
AIR TRAFFIC,TRAFIC AERIAN,RT        ,AIR ACCIDENTS,ACCIDENTE ÎN AER
AIR TRAFFIC,TRAFIC AERIAN,RT        ,AIR SAFETY,SIGURANȚĂ ÎN TRAFICUL AERIAN
AIR TRAFFIC,TRAFIC AERIAN,RT        ,AIR TRANSPORT,TRANSPORT AERIAN
AIR TRANSPORT,TRANSPORT AERIAN,BT        ,TRANSPORT,TRANSPORT
AIR TRANSPORT,TRANSPORT AERIAN,RT        ,AERIAL SPORTS,SPORTURI AERIENE
AIR TRANSPORT,TRANSPORT AERIAN,RT        ,AIR ACCIDENTS,ACCIDENTE ÎN AER
AIR TRANSPORT,TRANSPORT AERIAN,RT        ,AIR SAFETY,SIGURANȚĂ ÎN TRAFICUL AERIAN
AIR TRANSPORT,TRANSPORT AERIAN,RT        ,AIR TRAFFIC,TRAFIC AERIAN
AIR TRANSPORT,TRANSPORT AERIAN,RT        ,AIR TRAVEL,CĂLĂTORII AERIENE
AIR TRANSPORT,TRANSPORT AERIAN,RT        ,AIRCRAFT,AERONAVĂ
AIR TRANSPORT,TRANSPORT AERIAN,RT        ,AIRPORTS,AEROPORTURI
AIR TRAVEL,CĂLĂTORII AERIENE,BT        ,TRAVEL,CĂLĂTORIE
AIR TRAVEL,CĂLĂTORII AERIENE,RT        ,AIR ACCIDENTS,ACCIDENTE ÎN AER
AIR TRAVEL,CĂLĂTORII AERIENE,RT        ,AIR TRANSPORT,TRANSPORT AERIAN
AIR TRAVEL,CĂLĂTORII AERIENE,RT        ,AIRPORTS,AEROPORTURI
AIR WARFARE,CONFLICT ARMAT AERIAN,BT        ,WARFARE,CONFLICT ARMAT
AIRBAGS,AIRBAG,BT        ,VEHICLE SAFETY,SIGURANȚA VEHICULELOR
AIRCRAFT,AERONAVĂ,BT        ,VEHICLES,VEHICULE
AIRCRAFT,AERONAVĂ,RT        ,AIR TRANSPORT,TRANSPORT AERIAN
AIRPORT SECURITY,SECURITATE AEROPORTUARĂ,BT        ,AIR SAFETY,SIGURANȚĂ ÎN TRAFICUL AERIAN
AIRPORT SECURITY,SECURITATE AEROPORTUARĂ,RT        ,AIRPORTS,AEROPORTURI
AIRPORTS,AEROPORTURI,BT        ,TRANSPORT INFRASTRUCTURE,INFRASTRUCTURĂ PENTRU TRANSPORT
AIRPORTS,AEROPORTURI,RT        ,AIR TRANSPORT,TRANSPORT AERIAN
AIRPORTS,AEROPORTURI,RT        ,AIR TRAVEL,CĂLĂTORII AERIENE
AIRPORTS,AEROPORTURI,RT        ,AIRPORT SECURITY,SECURITATE AEROPORTUARĂ
ALCOHOL LAW VIOLATIONS,ÎNCĂLCAREA LEGII PRIVIND ALCOOLUL,BT        ,DRINKING OFFENCES,INFRACȚIUNI ASOCIATE CONSUMULUI DE ALCOOL
ALCOHOLISM,ALCOOLISM,BT        ,ADDICTION,DEPENDENȚĂ
ALCOHOLISM,ALCOOLISM,RT        ,DRINKING BEHAVIOUR,COMPORTAMENT FAȚĂ DE CONSUMUL DE ALCOOL
ALCOHOLISM,ALCOOLISM,RT        ,DRINKING OFFENCES,INFRACȚIUNI ASOCIATE CONSUMULUI DE ALCOOL
ALCOHOLISM,ALCOOLISM,RT        ,DRUNKENNESS,RO_DRUNKENNESS
ALIMONY,PENSIE ALIMENTARĂ,BT        ,FINANCIAL SUPPORT,AJUTOR FINANCIAR 
ALLERGIES,ALERGII,BT        ,IMMUNE SYSTEM DISEASES,BOLI ALE SISTEMULUI IMUNITAR
ALLERGIES,ALERGII,RT        ,ASTHMA,ASTM
ALLERGIES,ALERGII,RT        ,SKIN DISEASES,BOLI DE PIELE
ALLOTMENTS,REPARTIȚII,BT        ,GARDENS,GRĂDINI ȘI PARCURI
ALLOTMENTS,REPARTIȚII,RT        ,FOOD PRODUCTION,PRODUCȚIE ALIMENTARĂ
ALLOTMENTS,REPARTIȚII,RT        ,GARDENING,GRĂDINĂRIT
ALLOTMENTS,REPARTIȚII,RT        ,PRIVATE GARDENS,GRĂDINI PRIVATE
ALTERNATIVE DISPUTE RESOLUTION (ADR),SOLUȚIONARE ALTERNATIVĂ A DISPUTELOR,BT        ,CONFLICT RESOLUTION,SOLUȚIONAREA CONFLICTULUI
ALTERNATIVE DISPUTE RESOLUTION (ADR),SOLUȚIONARE ALTERNATIVĂ A DISPUTELOR,BT        ,LEGAL PROCEDURE,PROCEDURĂ JURIDICĂ
ALTERNATIVE DISPUTE RESOLUTION (ADR),SOLUȚIONARE ALTERNATIVĂ A DISPUTELOR,RT        ,CONFLICT,CONFLICT
ALTERNATIVE DISPUTE RESOLUTION (ADR),SOLUȚIONARE ALTERNATIVĂ A DISPUTELOR,RT        ,INDUSTRIAL TRIBUNALS,TRIBUNALE ALE MUNCII
ALTERNATIVE DISPUTE RESOLUTION (ADR),SOLUȚIONARE ALTERNATIVĂ A DISPUTELOR,RT        ,INTERGROUP CONFLICT,CONFLICT INTERGRUPAL
ALTERNATIVE DISPUTE RESOLUTION (ADR),SOLUȚIONARE ALTERNATIVĂ A DISPUTELOR,RT        ,INTERPERSONAL CONFLICT,CONFLICT INTERPERSONAL
ALTERNATIVE DISPUTE RESOLUTION (ADR),SOLUȚIONARE ALTERNATIVĂ A DISPUTELOR,RT        ,INTERPERSONAL RELATIONS,RELAȚII INTERPERSONALE
ALTERNATIVE DISPUTE RESOLUTION (ADR),SOLUȚIONARE ALTERNATIVĂ A DISPUTELOR,RT        ,JUSTICE,JUSTIȚIE
ALTERNATIVE DISPUTE RESOLUTION (ADR),SOLUȚIONARE ALTERNATIVĂ A DISPUTELOR,RT        ,LAW,DREPT (LEGISLAȚIE)
ALTERNATIVE DISPUTE RESOLUTION (ADR),SOLUȚIONARE ALTERNATIVĂ A DISPUTELOR,RT        ,OMBUDSMEN,OMBUDSMEN
ALTITUDE,ALTITUDINE,BT        ,DIMENSIONAL MEASUREMENTS ,MĂSURĂRI ALE DIMENSIUNII
AMATEUR CHOIRS,CORURI DE AMATORI,BT        ,CHOIRS,CORURI
AMATEUR CHOIRS,CORURI DE AMATORI,BT        ,HOBBIES,HOBBY-URI
AMATEUR PHOTOGRAPHY,FOROGRAF AMATOR,BT        ,HOBBIES,HOBBY-URI
AMATEUR PHOTOGRAPHY,FOROGRAF AMATOR,BT        ,PHOTOGRAPHY,FOTOGRAFIE
AMBULANCE SERVICES,SERVICII DE AMBULANȚĂ,BT        ,EMERGENCY AND PROTECTIVE SERVICES,SERVICII DE URGENȚĂ ȘI PROTECȚIE
AMBULANCE SERVICES,SERVICII DE AMBULANȚĂ,BT        ,HEALTH SERVICES,SERVICII DE SĂNĂTATE
AMBULANCE SERVICES,SERVICII DE AMBULANȚĂ,RT        ,HOSPITAL SERVICES,SERVICII SPITALICEȘTI
AMBULANCE SERVICES,SERVICII DE AMBULANȚĂ,RT        ,PATIENTS,PACIENȚI
AMNESTY,AMNISTIE,RT        ,LEGAL PROCEDURE,PROCEDURĂ JURIDICĂ
AMNESTY,AMNISTIE,RT        ,PAROLE,ELIBERARE CONDIȚIONATĂ
AMNESTY,AMNISTIE,RT        ,PRISON DISCHARGE,ELIBERARE DIN ÎNCHISOARE
ANALYSIS,ANALIZE,NT        ,DATA ANALYSIS,ANALIZĂ DE DATE
ANALYSIS,ANALIZE,NT        ,ECONOMIC ANALYSIS,ANALIZĂ ECONOMICĂ
