RO Preferred Term ,English PT
MEDIU FAMILIAL,FAMILY ENVIRONMENT
MEDIU NATURAL,NATURAL ENVIRONMENT
MEDIU RURAL,RURAL ENVIRONMENT
MEDIU SOCIAL,SOCIAL ENVIRONMENT
MEDIU UMAN,HUMAN ENVIRONMENT
MEDIU URBAN,URBAN ENVIRONMENT
MEMBRII AI FAMILIEI,FAMILY MEMBERS
MEMBRII AI PARLAMENTULUI,MEMBERS OF PARLIAMENT
MEMORIE,MEMORY
MENOPAUSĂ,MENOPAUSE
MENSTRUAȚIE,MENSTRUATION
MERS PE JOS,WALKING
MESE ȘCOLARE GRATUITE,FREE SCHOOL MEALS
MEȘTEȘUGARI,CRAFTSMEN
METODA RITMULUI (CONTROLUL NAȘTERII),RHYTHM METHOD (BIRTH CONTROL)
METODE DE CONTRACEPȚIE,BIRTH CONTROL METHODS
METODE DE TIMP (CERCETARE),TIME METHODS (RESEARCH)
METODE DE TRATAMENT MEDICAL,MEDICAL TREATMENT METHODS
METODE DIDACTICE,TEACHING METHODS
METODOLOGIE,METHODOLOGY
METODOLOGIE DE CULEGERE A DATELOR,DATA COLLECTION METHODOLOGY
MIȘCARE SOCIALĂ MUNCITOREASCĂ,LABOUR MOVEMENT
MIȘCAREA NATURALĂ A POPULAȚIEI,VITAL STATISTICS
MIȘCĂRI DE ELIBERARE,LIBERATION MOVEMENTS
MIȘCĂRI DE PROTEST,PROTEST MOVEMENTS
MIȘCĂRI POLITICE,POLITICAL MOVEMENTS
MIȘCĂRI SOCIALE ANTINUCLEARE,ANTI-NUCLEAR MOVEMENTS
MIȘCĂRI SOCIALE DE DEZARMARE NUCLEARĂ,NUCLEAR DISARMAMENT MOVEMENTS
MIȘCĂRI SOCIALE ECOLOGICE,ENVIRONMENTAL MOVEMENTS
MIȘCĂRI SOCIALE FEMINISTE,WOMEN'S MOVEMENT
MIȘCĂRI SOCIALE ÎMPOTRIVA RĂZBOIULUI,ANTI-WAR MOVEMENTS
MIȘCĂRI SOCIALE RELIGIOASE,RELIGIOUS MOVEMENTS
MIȘCĂRI SOCIALE REVOLUȚIONARE,REVOLUTIONARY MOVEMENTS
MIGRAȚIA FORȚEI DE MUNCĂ,LABOUR MIGRATION
MIGRAȚIA POPULAȚIEI,POPULATION MIGRATION
MIGRAȚIE ÎN SCOP ACADEMIC,EDUCATIONAL MIGRATION
MIGRAȚIE INTERNĂ,INTERNAL MIGRATION
MIGRAȚIE INTERNAȚIONALĂ,INTERNATIONAL MIGRATION
MIGRAȚIE RURAL-URBAN,RURAL MIGRATION
MIGRAȚIE URBAN-RURAL,COUNTER-URBANIZATION
MIGRANȚI,MIGRANTS
MIGRENE,MIGRAINES
MIJLOACE CONTRACEPTIVE,CONTRACEPTIVE DEVICES
MIJLOACE DE INFORMARE ÎN MASĂ,MASS MEDIA
MILITARISM,MILITARISM
MINERI,MINERS
MINERI ÎN EXTRACȚIA CĂRBUNELUI,COAL MINERS
MINIȘTRII GUVERNAMENTALI,GOVERNMENT MINISTERS
MINORITĂȚI ETNICE,ETHNIC MINORITIES
MINORITĂȚI POLITICE,POLITICAL MINORITIES
MIROSURI,SMELL
MISIONARISM,MISSIONARY WORK
MISTICISM,MYSTICISM
MITURI,MYTHS
MOAȘE,MIDWIVES
MOARTE,DEATH
MOBILITATE DE DOMICILIU,RESIDENTIAL MOBILITY
MOBILITATE FIZICĂ,PHYSICAL MOBILITY
MOBILITATE SOCIALĂ,SOCIAL MOBILITY
MODĂ,FASHION
MODALITĂȚI DE PLATĂ,METHODS OF PAYMENT
MODALITATE DE CULEGERE A DATELOR,MODE OF DATA COLLECTION
MODELARE,MODELLING
MODELE DE SIMULARE,SIMULATION MODELS
MODELE MATEMATICE,MATHEMATICAL MODELS
MODERNIZARE,MODERNIZATION
MONARHIE,MONARCHY
MONEDĂ UNICĂ EUROPEANĂ,SINGLE EUROPEAN CURRENCY
MONITORIZAREA DE POLITICI,POLICY MONITORING
MONOPOLURI,MONOPOLIES
MONUMENTE,MONUMENTS
MORBIDITATE,MORBIDITY
MORI,MILLS
MORTALITATE,MORTALITY
MORTALITATE INFANTILĂ,INFANT MORTALITY
MORTALITATE MATERNĂ,MATERNAL MORTALITY
MOȘTENIRE,INHERITANCE
MOȘTENIRE CULTURALĂ,CULTURAL HERITAGE
MOTIVAȚIE,MOTIVATION
MOTOCICLETE,MOTORCYCLES
MOTORINĂ,DIESEL OIL
MULTILINGVISM,MULTILINGUALISM
MUNCĂ (RESURSĂ),LABOUR (RESOURCE)
MUNCĂ CASNICĂ,HOUSEWORK
MUNCĂ DE CERCETARE,RESEARCH WORK
MUNCĂ DE VOLUNTARIAT,VOLUNTARY WORK
MUNCĂ ȘI OCUPAREA FORȚEI DE MUNCĂ,LABOUR AND EMPLOYMENT
MUNCĂ ÎN COMUNITATE,COMMUNITY WORK
MUNCĂ ÎN FOLOSUL COMUNITĂȚII (PEDEAPSĂ),COMMUNITY SERVICE (PUNISHMENT)
MUNCĂ ÎN RÂNDUL TINERILOR,YOUTH WORK
MUNCĂ ÎN TELEVIZIUNE,TELEWORK
MUNCĂ ÎN TURE,SHIFT WORK
MUNCĂ LA NEGRU,MOONLIGHTING
MUNCĂ PASTORALĂ,PASTORAL WORK
MUNCĂ REPETITIVĂ,REPETITIVE WORK
MUNCĂ SEZONIERĂ,SEASONAL EMPLOYMENT
MUNCITORI,WORKERS
MUNCITORI AGRICOLI,AGRICULTURAL WORKERS
MUNCITORI CALIFICAȚI,SKILLED WORKERS
MUNCITORI INDUSTRIALI,INDUSTRIAL WORKERS
MUNCITORI MINORI,CHILD WORKERS
MUNCITORI NECALIFICAȚI,UNSKILLED WORKERS
MUNCITORI NEPLĂTIȚI,UNWAGED WORKERS
MUNCITORI SEMICALIFICAȚI,SEMI-SKILLED WORKERS
MUNCITORI STRĂINI,FOREIGN WORKERS
MUZEE,MUSEUMS
MUZEE DE ISTORIE NATURALĂ,NATURAL HISTORY MUSEUMS
MUZEE DE ȘTIINȚĂ,SCIENCE MUSEUMS
MUZICĂ,MUSIC
MUZICIENI,MUSICIANS
NAȚIONALISM,NATIONALISM
NAȚIONALITATE,NATIONALITY
NAȚIONALITATE BIOGRAFICĂ,NATIONAL BACKGROUND
NAȚIONALIZARE,NATIONALIZATION
NAȚIONAL-SOCIALISM,NATIONAL SOCIALISM
NAȚIUNI AGRESOARE,AGGRESSOR NATIONS
NATALITATE,NATALITY
NAȘTERE,CHILDBIRTH
NAȘTEREA PROPRIU-ZISĂ,DELIVERY (PREGNANCY)
NAȘTEREA UNUI COPIL MORT,STILLBIRTH
NAȘTERI ILEGITIME,ILLEGITIMATE BIRTHS
NAȘTERI ÎN SPITAL,HOSPITAL BIRTHS
NAȘTERI LA DOMICILIU,HOME BIRTHS
NAȘTERI MULTIPLE,MULTIPLE BIRTHS
NAȘTERI PREMATURE,PREMATURE BIRTHS
NATO,NATO
NATURĂ SĂLBATICĂ,WILDLIFE
NATURA UMANĂ,HUMAN NATURE
NAVE,SHIPS
NAVE SPAȚIALE,SPACECRAFT
NAVETĂ,COMMUTING
NAVIGAȚIE,NAVIGATION
NEGLIJENȚĂ (JURIDIC),NEGLIGENCE (LEGAL)
NEGLIJENȚĂ MEDICALĂ,MEDICAL NEGLIGENCE
NEGOCIERE COLECTIVĂ,COLLECTIVE BARGAINING
NEMURIRE,IMMORTALITY
NEOFASCISM,NEO-FASCISM
NEONAZISM,NEO-NAZISM
NEPOȚI,GRANDCHILDREN
NEPOTISM,NEPOTISM
NEPROLIFERARE NUCLEARĂ,NUCLEAR FREEZE
NEUTRALITATE,NEUTRALITY
NEVOI PRIMARE,BASIC NEEDS
NEVOI SOCIALE,SOCIAL NEEDS
NEVOILE FORȚELOR DE MUNCĂ,LABOUR FORCE NEEDS
NIVEL DE TRAI,STANDARD OF LIVING
NIVELURI EDUCAȚIONALE,EDUCATIONAL LEVELS
NOMAZI,TRAVELLING PEOPLE
NON-FICȚIUNE,NON-FICTION
NORME,NORMS
NOROC,LUCK
NUDITATE,NUDITY
NUMĂRUL DIVORȚURILOR,NUMBER OF DIVORCES
NUMIRE ÎN FUNCȚIE,APPOINTMENT TO JOB
NUMIRI ÎN CADRUL BISERICII,CHURCH APPOINTMENTS
NUPȚIALITATE,NUPTIALITY
NUTRIȚIA COPILULUI,CHILD NUTRITION
OAMENI DE ȘTIINȚĂ,SCIENTISTS
OBEDIENȚĂ,OBEDIENCE
OBEZITATE,OBESITY
OBICEIURI,HABITS
OBICEIURI ȘI TRADIȚII,CUSTOMS AND TRADITIONS
OBICEIURI LA CĂSĂTORIE,MARRIAGE CUSTOMS
OBIECȚIE MORALĂ LA SERVICIUL MILITAR,CONSCIENTIOUS OBJECTION
OBIECTE ARHEOLOGICE,ARCHAEOLOGICAL OBJECTS
OBIECTE DE ARTIZANAT,HANDICRAFTS
OBIECTE ZBURĂTOARE NEIDENTIFICATE,UNIDENTIFIED FLYING OBJECTS
OBIECTIVE,OBJECTIVES
OBIECTIVE EDUCAȚIONALE,EDUCATIONAL OBJECTIVES
OBIECTIVELE PEDEPSELOR,PUNISHMENT OBJECTIVES
OBLIGAȚII,OBLIGATIONS
OBLIGAȚIUNI,BONDS
OBOSEALĂ (FIZIOLOGIE),FATIGUE (PHYSIOLOGY)
OBSERVAȚIE (COLECTARE DE DATE),OBSERVATION (DATA COLLECTION)
OBSERVAREA MASELOR,MASS OBSERVATION
OBSTETRICĂ,OBSTETRICS
OBSTRUCȚIA LOCURILOR PUBLICE,OBSTRUCTION OF PUBLIC PLACES
OBSTRUCȚIONAREA ACTIVITĂȚILOR POLIȚIEI,INTERFERENCE WITH CRIMINAL PROCEEDINGS
OCHELARI,SPECTACLES
OCULT,OCCULT
OCUPAȚII,OCCUPATIONS
OCUPAȚII CLANDESTINE,CLANDESTINE EMPLOYMENT
OCUPAȚII PROFESIONALE,PROFESSIONAL OCCUPATIONS
ODIHNĂ,REST
OFENSE,TORTS
OFERTĂ,SUPPLY
OFERTA DE PATURI DIN SPITAL,HOSPITAL BED PROVISION
OFERTA FOR?EI DE MUNCA,LABOUR SUPPLY
OFICIALI ALEȘI,ELECTED OFFICIALS
OFICIALI SINDICALI,TRADE UNION OFFICIALS
OFICII POȘTALE,POST OFFICES
OFIȚERI DE POLIȚIE,POLICE OFFICERS
OI,SHEEP
ȘOMAJ,UNEMPLOYMENT
ȘOMAJ ÎN RÂNDUL TINERILOR,YOUTH UNEMPLOYMENT
ȘOMAJ TEHNIC,INVOLUNTARY SHORT TIME WORKING
OMBUDSMEN,OMBUDSMEN
ȘOMERI,UNEMPLOYED
OMUCIDERE,HOMICIDE
ONOMASTICĂ,ONOMASTICS
OPERĂ,OPERA
OPERAȚIE DE CEZARIANĂ,CAESARIAN SECTIONS
OPERAȚIUNI DE MANAGEMENT,MANAGEMENT OPERATIONS
OPERAȚIUNI MILITARE,MILITARY OPERATIONS
OPERE DE ARTĂ,WORKS OF ART
OPINIE PUBLICĂ,PUBLIC OPINION
OPORTUNITA?I DE ANGAJARE,EMPLOYMENT OPPORTUNITIES
OPORTUNITĂȚI EDUCAȚIONALE,EDUCATIONAL OPPORTUNITIES
OPORTUNITATE EGALĂ,EQUAL OPPORTUNITY
OPOZIȚIE LEGALĂ,LAWFUL OPPOSITION
OPOZIȚIE POLITICĂ,POLITICAL OPPOSITION
OPRESIUNI POLITICE,POLITICAL OPPRESSION
OPTICIENI,OPTICIANS
OPTIMISM,OPTIMISM
ORĂ DE VARĂ,SUMMER-TIME
ORAȘE,TOWNS
ORBIRE,BLINDNESS
ORDINE,INJUNCTIONS
ORDONANȚĂ PENTRU DREPTURILE ȘI LIBERTĂȚILE FUNDAMENTALE ALE OMULUI,BILLS OF RIGHTS
ORE DE COMERCIALIZARE,TRADING HOURS
ORE DE LUMINĂ NATURALĂ,HOURS OF SUNLIGHT
ORE SUPLIMENTARE,OVERTIME
ORGANE DE APLICARE A LEGII,LAW ENFORCEMENT
ORGANIZAȚIA MONDIALĂ A COMERȚULUI,WORLD TRADE ORGANIZATION
ORGANIZAȚIA NAȚIUNILOR UNITE,UNITED NATIONS 
ORGANIZAȚII,ORGANIZATIONS
ORGANIZAȚII ALE FEMEILOR,WOMEN'S ORGANIZATIONS
ORGANIZAȚII CARITABILE,CHARITABLE ORGANIZATIONS
ORGANIZAȚII CULTURALE,CULTURAL ORGANIZATIONS
ORGANIZAȚII DE TINERET,YOUTH ORGANIZATIONS
ORGANIZAȚII DE VOLUNTARIAT,VOLUNTARY ORGANIZATIONS
ORGANIZAȚII GUVERNAMENTALE,GOVERNMENT ORGANIZATIONS
ORGANIZAȚII GUVERNAMENTALE LOCALE,LOCAL GOVERNMENT ORGANIZATIONS
ORGANIZAȚII INTERNAȚIONALE,INTERNATIONAL ORGANIZATIONS
ORGANIZAȚII PATRONALE,EMPLOYERS' ORGANIZATIONS
ORGANIZAȚII PENTRU BUNĂSTARE SOCIALĂ,SOCIAL WELFARE ORGANIZATIONS
ORGANIZAȚII PRIVATE DE VOLUNTARIAT,PRIVATE VOLUNTARY ORGANIZATIONS
ORGANIZAȚII REGIONALE,REGIONAL ORGANIZATIONS
ORGANIZAȚII STUDENȚEȘTI,STUDENT ORGANIZATIONS
ORIENTARE SEXUALĂ,SEXUAL ORIENTATION
ORIGINI SOCIALE,SOCIAL ORIGIN
ORNITOLOGIE,ORNITHOLOGY
ORTODOXIE,ORTHODOXY
ORTOPEDIE,ORTHOPAEDICS
OSTEOPATIE,OSTEOPATHY
OTITĂ MEDIE,OTITIS MEDIA
PACE,PEACE
PACHETE DE VACANȚĂ,PACKAGE HOLIDAYS
PACHETE DIDACTICE,TEACHING PACKAGES
PACIENȚI,PATIENTS
PACIFISM,PACIFISM
PACTUL DE LA VARȘOVIA,WARSAW PACT
PĂCURĂ ȘI DERIVAȚI,FUEL OILS
PĂDURI,FORESTS
PĂDURI DE CONIFERE,CONIFEROUS FORESTS
PĂDURI TROPICALE,TROPICAL FORESTS
PALPITAȚII,PALPITATIONS
PAPA,POPE
PARALIZIE CEREBRALĂ,CEREBRAL PALSY
PARAPSIHOLOGIE,PARAPSYCHOLOGY
PARCĂRI,CAR PARKING AREAS
PARCURI,PARKS
PARCURI NAȚIONALE,NATIONAL PARKS
PĂRINȚI,PARENTS
PĂRINȚI ADOPTIVI,ADOPTIVE PARENTS
PĂRINȚI VITREGI,FOSTER PARENTS
PARLAMENTUL EUROPEAN,EUROPEAN PARLIAMENT
PARTENER SUPRAVIEȚUITOR DINTR-O UNUIUNE CIVILĂ,SURVIVING CIVIL PARTNERS
PARTENERI CIVILI,CIVIL PARTNERS
PARTENERIATE (AFACERI),PARTNERSHIPS (BUSINESS)
PARTENERIATE (PERSONALE),PARTNERSHIPS (PERSONAL)
PARTENERIATE CIVILE,CIVIL PARTNERSHIPS
PARTENERIATE ECONOMICE,ECONOMIC AGREEMENTS
PARTICIPARE,PARTICIPATION
PARTICIPARE CULTURALĂ,CULTURAL PARTICIPATION
PARTICIPARE ÎN DOMENIUL EDUCAȚIONAL,EDUCATIONAL ATTENDANCE
PARTICIPARE POLITICĂ,POLITICAL PARTICIPATION
PARTICIPARE SOCIALĂ,SOCIAL PARTICIPATION
PARTICIPARE STUDENȚEASCĂ,STUDENT PARTICIPATION
PARTICIPAREA ANGAJAȚILOR,WORKERS PARTICIPATION
PARTICIPAREA CETĂȚENILOR,CITIZEN PARTICIPATION
PARTICIPAREA COMUNITĂȚII,COMMUNITY PARTICIPATION
PARTICIPAREA LA TEATRU,THEATRE ATTENDANCE
PARTICULARITĂȚI ALE LOCULUI DE MUNCĂ,JOB CHARACTERISTICS
PARTIDE DE OPOZIȚIE,OPPOSITION PARTIES
PARTIDE POLITICE,POLITICAL PARTIES
PÂRTII ȘI TRASEE DE SKI,SKI SLOPES AND TRACKS
PĂRTINIRE ÎN MASS MEDIA,MASS MEDIA BIAS
PASAGERI,PASSENGERS
PASARELĂ DEASUPRA APEI,PIERS
PĂSĂRI,BIRDS
PĂSĂRI DE CURTE,POULTRY
PATINAJ,SKATING
PATOLOGIE,PATHOLOGY
PATRIMONIU MONDIAL,NATURAL HERITAGE
PATRIOTISM,PATRIOTISM
PATRONAJ,PATRONAGE
PEDEAPSĂ,PUNISHMENT
PEDEAPSĂ CORPORALĂ,CORPORAL PUNISHMENT
PEDEAPSĂ CU ÎNCHISOAREA PE TERMEN LUNG,LONG TERM IMPRISONMENT
PEDEAPSA CU MOARTEA,DEATH PENALTY
PEDEPSE ȘCOLARE,SCHOOL PUNISHMENTS
PEDEPSE NEPRIVATIVE DE LIBERTATE,NON-CUSTODIAL PUNISHMENT
PEDEPSE PRIVATIVE DE LIBERTATE,IMPRISONMENT
PEDIATRIE,PAEDIATRICS
PEDICHIURĂ,CHIROPODY
PEISAJ,LANDSCAPE
PENSIE ALIMENTARĂ,ALIMONY
PENSIE ALIMENTARĂ A COPILULUI,CHILD SUPPORT PAYMENTS
PENSII,PENSIONS
PENSII DE STAT,STATE RETIREMENT PENSIONS
PENSII DE URMAȘ,SURVIVORS' BENEFITS
PENSII OCUPAȚIONALE,OCCUPATIONAL PENSIONS
PENSII PERSONALE PRIVATE,PRIVATE PERSONAL PENSIONS
PENSII PRIVATE,PRIVATE PENSIONS
PENSIONARE,RETIREMENT
PENSIONARE TIMPURIE,EARLY RETIREMENT
PENSIUNI,HOSTELS
PERCEPȚIE,PERCEPTION
PERCEPȚIE EXTRASENZORIALĂ,EXTRASENSORY PERCEPTION
PEREȚI,WALLS
PERFORMANȚĂ,PERFORMANCE
PERIOADĂ DE ȘCOLARIZARE,SCHOOL TIME
PERIOADĂ DE PROBĂ,PROBATION PERIOD
PERSOANĂ CARE BENEFICIAZĂ DE SUSPENDAREA PEDEPSEI SUB SUPRAVEGHERE,PROBATIONERS
PERSOANA CU VENITUL CEL MAI MARE DIN GOSPODĂRIE,CHIEF INCOME EARNERS
PERSOANE CARE LUCREAZĂ LA DOMICILIU,HOME-BASED WORKERS
PERSOANE CARE SUPRAVEGHEAZĂ COPII,CHILD-MINDERS
PERSOANE CASNICE,HOMEMAKERS
PERSOANE CU AVERE,WEALTHY PERSONS
PERSOANE CU DEFICIENȚE DE AUZ,HEARING IMPAIRED PERSONS
PERSOANE CU DIFICULTA?I DE VORBIRE,SPEECH IMPAIRED PERSONS
PERSOANE CU DIZABILITA?I FIZICE,PHYSICALLY DISABLED PERSONS
PERSOANE CU DIZABILITĂȚI,DISABLED PERSONS
PERSOANE CU DIZABILITĂȚI MENTALE,MENTALLY DISABLED PERSONS
PERSOANE CU DIZABILITĂȚI VIZUALE,VISUALLY IMPAIRED PERSONS
PERSOANE NECĂSĂTORITE,SINGLES
PERSOANE NEINTEGRATE SOCIAL,SOCIAL DROP-OUTS
PERSOANE NELEGITIME,ILLEGITIMATE PERSONS
PERSOANE PUBLICE,PUBLIC FIGURES
PERSOANE SĂRACE,POOR PERSONS
PERSONAL (RESURSE UMANE),PERSONNEL
PERSONAL ANGAJAT ÎN DOMENIUL EDUCAȚIEI,EDUCATIONAL PERSONNEL
PERSONAL AUXILIAR DIN ÎNVĂȚĂMÂNT,EDUCATIONAL SUPPORT PERSONNEL
PERSONAL DE RADIO ȘI TELEVIZIUNE,TELEVISION AND RADIO PERSONNEL
PERSONAL DE SECURITATE,SECURITY PERSONNEL
PERSONAL DIDACTIC DIN EDUCA?IA UNIVERSITARA ?I POSTUNIVERSITARA,HIGHER AND FURTHER EDUCATION TEACHING PERSONNEL
PERSONAL DIN DOMENIUL ȘTIINȚELOR SOCIALE,SOCIAL SCIENCE PERSONNEL
PERSONAL DIN POLIȚIE,POLICE PERSONNEL
PERSONAL IT,IT PERSONNEL
PERSONAL MILITAR,MILITARY PERSONNEL
PERSONAL PARAMEDICAL,PARAMEDICAL PERSONNEL
PERSONAL PENTRU ACTIVITĂȚI DE CERCETARE,RESEARCH WORKERS
PERSONAL PROFESIONIST,PROFESSIONAL PERSONNEL
PERSONAL RELIGIOS,RELIGIOUS PERSONNEL
PERSONAL RESPONSABIL DE VÂNZĂRI,SALES PERSONNEL
PERSONAL ȘTIINȚIFIC,SCIENTIFIC PERSONNEL
PERSONALITATE,PERSONALITY
PERSONALUL MUZEELOR,MUSEUM PERSONNEL
PERSUASIUNE POLITICĂ,LOBBYING
PESCUIT (SPORT),FISHING (SPORT)
PESTICIDE,PESTICIDES
PETROL,PETROL
PETROL NERAFINAT,PETROLEUM
PIAȚĂ (ECONOMIE),MARKETS (ECONOMICS)
PIAȚA MUNCII,LABOUR MARKET
PIEȚE FINANCIARE,FINANCIAL MARKETS
PIEȚE STRADALE,STREET MARKETS
PIELE,SKIN
PIERDEREA AUZULUI,DEAFNESS
PIETONI,PEDESTRIANS
PILONI,PYLONS
PISTE DE BICICLETĂ,CYCLE LANES
PLĂCI DENTARE,DENTURES
PLĂȚI,PAYMENTS
PLAN DE DEZVOLTARE,DEVELOPMENT PLANNING
PLAN DE ÎNVĂȚĂMÂNT,CURRICULUM
PLANIFICARE,PLANNING
PLANIFICARE ECONOMICĂ,ECONOMIC PLANNING
PLANIFICARE EDUCAȚIONALĂ,EDUCATIONAL PLANNING
PLANIFICARE FAMILIALĂ,FAMILY PLANNING
PLANIFICARE INDUSTRIALĂ,INDUSTRIAL PLANNING
PLANIFICARE REGIONALĂ,REGIONAL PLANNING
PLANIFICARE RURALĂ,RURAL PLANNING
PLANIFICAREA MEDIULUI,ENVIRONMENTAL PLANNING
PLANIFICAREA TRANSPORTURILOR,TRANSPORT PLANNING
PLÂNS,CRYING
PLANTE,PLANTS
PLASMĂ SANGVINĂ,BLOOD PLASMA
PLATĂ COMPENSATORIE,REDUNDANCY PAY
PLATĂ PE UNITATEA DE TIMP,RATES OF PAY
PLICTISEALĂ,BOREDOM
PLOAIE,PRECIPITATION
PLOAIE ACIDĂ,ACID RAIN
PLURALISM CULTURAL,CULTURAL PLURALISM
PNEUMONIE,PNEUMONIA
PODELE,FLOORS
PODURI,BRIDGES
POJAR,MEASLES
POLITICĂ,POLITICS
POLITICA ADMINISTRAȚIILOR LOCALE,LOCAL GOVERNMENT POLICY
POLITICĂ AGRICOLĂ,AGRICULTURAL POLICY
POLITICA BUGETULUI DE VENITURI ȘI DE CHELTUIELI,INCOMES POLICY
POLITICĂ ȘCOLARĂ,SCHOOL POLICY
POLITICĂ COMERCIALĂ,TRADE POLICY
POLITICĂ CULTURALĂ,CULTURAL POLICY
POLITICA DE APĂRARE ȘI DE SECURITATE A STATULUI,DEFENCE AND STATE SECURITY POLICY
POLITICĂ DE DEZVOLTARE,DEVELOPMENT POLICY
POLITICA DE IMIGRARE,IMMIGRATION POLICY
POLITICA DE LOCUIRE,HOUSING POLICY
POLITICĂ DE MEDIU,ENVIRONMENTAL POLICY
POLITICĂ DE MUNCĂ,LABOUR POLICY
POLITICĂ DE OCUPARE A FORȚEI DE MUNCĂ,EMPLOYMENT POLICY
POLITICĂ DE PARTID,PARTY POLITICS
POLITICĂ DE PERSONAL,PERSONNEL POLICY
POLITICĂ DE PREȚURI,PRICE POLICY
POLITICĂ DE SĂNĂTATE PUBLICĂ,HEALTH POLICY
POLITICĂ DEMOGRAFICĂ,POPULATION POLICY
POLITICĂ ECONOMICĂ,ECONOMIC POLICY
POLITICĂ EDUCAȚIONALĂ,EDUCATIONAL POLICY
POLITICĂ ENERGETICĂ,ENERGY POLICY
POLITICĂ EXTERNĂ,FOREIGN POLICY
POLITICA FAMILIEI,FAMILY POLICY
POLITICĂ FINANCIARĂ,FINANCIAL POLICY
POLITICĂ FISCALĂ,FISCAL POLICY
POLITICA GUVERNULUI,GOVERNMENT POLICY
POLITICĂ INDUSTRIALĂ,INDUSTRIAL POLICY
POLITICĂ INTERNĂ,INTERNAL POLITICS
POLITICĂ INTERNAȚIONALĂ,INTERNATIONAL POLITICS
POLITICĂ LINGVISTICĂ,LANGUAGE POLICY
POLITICĂ MONETARĂ,MONETARY POLICY
POLITICA MUZEELOR,MUSEUM POLICY
POLITICĂ NAȚIONALĂ,NATIONAL POLICY
POLITICĂ REGIONALĂ,REGIONAL POLICY
POLITICĂ RURALĂ,RURAL POLICY
POLITICĂ SALARIALĂ,WAGES POLICY
POLITICĂ SOCIALĂ ȘI DE BUNĂSTARE,SOCIAL AND WELFARE POLICY
POLITICA TRANSPORTURILOR,TRANSPORT POLICY
POLITICĂ VAMALĂ,CUSTOMS POLICY
POLITICI,POLICY
POLITICI ALE PARTIDELOR POLITICE,POLITICAL PARTY POLICIES
POLITICI ÎN MATERIE DE DROGURI ȘI MEDICAMENTE,DRUG POLICY
POLITICI PENTRU ȘTIINȚĂ,SCIENCE POLICY
POLITICIENI,POLITICIANS
POLUANȚI,POLLUTANTS
POLUARE,POLLUTION
POLUARE CU PETROL,OIL POLLUTION
POLUARE FONICĂ,NOISE POLLUTION
POLUARE INDUSTRIALĂ,INDUSTRIAL POLLUTION
POLUARE MARITIMĂ,MARINE POLLUTION
POLUARE VIZUALĂ,VISUAL POLLUTION
POLUAREA AERULUI,AIR POLLUTION
POLUAREA APELOR,WATER POLLUTION
POLUAREA SOLULUI,SOIL POLLUTION
POMPIERI,FIREFIGHTERS
POPULAȚIA DIN SISTEMUL DE ÎNVĂȚĂMÂNT,EDUCATIONAL POPULATION
POPULAȚIA LUMII,WORLD POPULATION
POPULAȚIE,POPULATION
POPULAȚIE DE VÂRSTĂ ȘCOLARĂ,SCHOOL-AGE POPULATION
POPULAȚIE RURALĂ,RURAL POPULATION
POPULAȚIE URBANĂ,URBAN POPULATION
POPULAȚII INDIGENE,INDIGENOUS POPULATIONS
PORCI DOMESTICI,DOMESTIC PIGS
PORNOGRAFIE,PORNOGRAPHY
PORTURI,PORTS
POSESIE ASUPRA LOCUINȚEI,HOUSING TENURE
POSESIE DE BUNURI FURATE,POSSESSION OF STOLEN PROPERTY
POSESIE DE DROGURI,DRUG POSSESSION
POST-MATERIALISM,POST-MATERIALISM
POȘTĂ ELECTRONICĂ,ELECTRONIC MAIL
POTECI,FOOTPATHS
PRACTICĂ RELIGIOASĂ,RELIGIOUS PRACTICE
PRACTICI EZOTERICE,ESOTERIC PRACTICES
PREȘCOLARI,PRESCHOOL CHILDREN
PREDESTINARE,PREDESTINATION
PREGĂTIRE,TUTORING
PREISTORIE,PREHISTORY
PREJUDECATĂ,PREJUDICE
PREJUDECATĂ RASIALĂ,RACIAL PREJUDICE
PRELEGERI,LECTURES
PREMII,REWARDS
PREPARARE A ALIMENTELOR,FOOD PREPARATION
PRESĂ,PRESS
PRESĂ LOCALĂ,LOCAL PRESS
PRESĂ SCRISĂ,NEWSPAPER PRESS
PRESCRIPȚII MEDICALE,MEDICAL PRESCRIPTIONS
PRESTIGIU,PRESTIGE
PRETIGIU NAȚIONAL,NATIONAL PRESTIGE
PREȚURI,PRICES
PREVENȚIE (DELINCVENȚI SOCIALI),DETERRENCE (SOCIAL OFFENDERS)
PREVENIREA CRIMINALITĂȚII,CRIME PREVENTION
PREVIZIUNI,FORECASTING
PREVIZIUNI EDUCAȚIONALE,EDUCATIONAL FORECASTING
PREZENȚĂ,ATTENDANCE
PREZENȚA LA ACTIVITĂȚI RELIGIOASE,RELIGIOUS ATTENDANCE
PREZENȚA LA CINEMATOGRAF,CINEMA ATTENDANCE
PREZICEREA VIITORULUI,FORTUNE-TELLING
PREZIDENȚIE,PRESIDENCY
PRIETENI,FRIENDS
PRIMARI,MAYORS
PRIMUL AJUTOR,FIRST AID
PRIVATIZARE,PRIVATIZATION
PRIZONERI DE RĂZBOI,PRISONERS OF WAR
PRIZONIERI,PRISONERS
PROBAȚIUNE,PROBATION
PROBLEME ALE POPULAȚIEI,POPULATION PROBLEMS
PROBLEME COMPORTAMENTALE,BEHAVIOURAL PROBLEMS
